Year,Month,conversion_rate,bounce_rate,new_user,return_user,new_user_con_rate,return_user_con_rate,new_user_bounce_rate,return_user_bounce_rate
2014,December,0.001333333,30.13266667,,,,,,
2014,November,0,0,,,,,,
2015,April,0,0,,,,,,
2015,August,0,0,,,,,,
2015,December,0,0,,,,,,
2015,February,0,0,,,,,,
2015,January,0,0,,,,,,
2015,July,0.440666667,20.24433333,,,,,,
2015,June,0.859032258,45.33548387,,,,,,
2015,March,0.796129032,46.22935484,,,,,,
2015,May,0.619,45.33966667,,,,,,
2015,November,1.060967742,47.05483871,,,,,,
2015,October,1.702,47.05633333,,,,,,
2015,September,2.331290323,44.97870968,,,,,,
2016,April,1.374516129,47.65322581,,,,,,
2016,August,1.574827586,48.82172414,,,,,,
2016,December,1.336129032,48.96516129,,,,,,
2016,February,0.930666667,44.51066667,,,,,,
2016,January,1.054193548,44.66774194,,,,,,
2016,July,1.305,44.51633333,,,,,,
2016,June,0.577741935,35.02064516,,,,,,
2016,March,1.621935484,48.14806452,,,,,,
2016,May,1.224333333,49.771,,,,,,
2016,November,1.1,52.41548387,,,,,,
2016,October,1.995,48.48033333,,,,,,
2016,September,3.807096774,43.19645161,,,,,,
2017,April,2.985483871,46.40096774,,,,,,
2017,August,2.479285714,49.83714286,,,,,,
2017,December,2.70483871,49.91548387,,,,,,
2017,February,2.553666667,48.92066667,,,,,,
2017,January,2.894516129,45.30322581,,,,,,
2017,July,2.868666667,46.167,,,,,,
2017,June,2.676129032,47.30290323,,,,,,
2017,March,2.713225806,50.41774194,,,,,,
2017,May,2.061,55.17766667,,,,,,
2017,November,1.961935484,51.21032258,,,,,,
2017,October,2.246333333,45.803,,,,,,
2017,September,2.707096774,49.52741935,,,,,,
2018,April,2.347419355,49.04903226,,,,,,
2018,August,1.921428571,47.85964286,,,,,,
2018,December,2.427419355,45.92322581,,,,,,
2018,February,2.673333333,44.74033333,,,,,,
2018,January,3.248387097,45.04290323,,,,,,
2018,July,2.316333333,43.42,,,,,,
2018,June,1.171935484,41.89935484,,,,,,
2018,March,1.411935484,41.51483871,,,,,,
2018,May,1.243333333,44.107,,,,,,
2018,November,0.793870968,41.9716129,,,,,,
2018,October,0.086333333,41.929,,,,,,
2018,September,0.185806452,36.48,,,,,,
2019,April,0.128387097,37.10354839,,,,,,
2019,August,0.095,41.22535714,,,,,,
2019,December,0.139032258,42.90419355,,,,,,
2019,February,0.133666667,42.77866667,,,,,,
2019,January,0.122903226,42.96516129,,,,,,
2019,July,0.159333333,41.21366667,,,,,,
2019,June,0.151935484,41.42322581,,,,,,
2019,March,0.177419355,45.15903226,,,,,,
2019,May,0.141333333,46.677,,,,,,
2019,November,0.126129032,45.45064516,,,,,,
2019,October,0.128,46.90133333,,,,,,
2019,September,0.220645161,44.65548387,,,,,,
2020,April,0.141935484,45.73032258,,,,,,
2020,August,0.117241379,47.13068966,,,,,,
2020,December,0.111290323,50.16354839,,,,,,
2020,February,0.099,50.297,,,,,,
2020,January,0.146129032,49.19580645,,,,,,
2020,July,0.147,48.94966667,,,,,,
2020,June,0.158387097,45.19193548,,,,,,
2020,March,0.209677419,40.58451613,,,,,,
2020,May,0.108666667,43.185,,,,,,
2020,November,0.106774194,43.69645161,,,,,,
2020,October,0.183,44.071,,,,,,
2020,September,1.546774194,49.62774194,,,,,,
2021,April,1.68483871,53.36741935,,,,,,
2021,February,0.267857143,51.29178571,,,,,,
2021,January,1.618064516,54.18935484,,,,,,
2021,July,2.238,54.532,,,,,,
2021,June,2.648064516,48.78612903,,,,,,
2021,March,3.172666667,48.52366667,,,,,,
2021,May,0.900645161,14.28741935,,,,,,
